STATE,TOTAL_ADULT_POPULATION,LGBT_ADULT_POPULATION,LGBT_POPULATION_DENSITY,PCT_LGBTQ_RAISING_CHILDREN,PCT_SAME_SEX_COUPLES_RAISING_CHILDREN
ALABAMA,4887871,147000,3.1,24,20.4
ALASKA,737438,25000,3.7,34,23.1
AMERICAN SAMOA,55519,,,,
ARIZONA,7171646,286000,4.5,25,16.5
ARKANSAS,3013825,95000,3.3,36,21.2
CALIFORNIA,39557045,1859000,5.3,24,16
COLORADO,5695564,234000,4.6,25,15.9
CONNECTICUT,3572665,133000,3.9,20,17
DELAWARE,967171,40000,4.5,35,15.6
DISTRICT OF COLUMBIA,702455,58000,9.8,9,8.7
FLORIDA,21299325,886000,4.6,24,13.3
GEORGIA,10519475,425000,4.5,27,19.6
GUAM,159358,,,,
HAWAII,1420491,59000,4.6,30,15.8
IDAHO,1754208,48000,2.8,44,22.3
ILLINOIS,12741080,506000,4.3,28,16.6
INDIANA,6691878,272000,4.5,34,18.9
IOWA,3156145,106000,3.6,27,18.6
KANSAS,2911505,92000,3.3,33,21.8
KENTUCKY,4468402,144000,3.4,26,18.5
LOUISIANA,4659978,169000,3.9,28,19.9
MAINE,1338404,60000,4.9,21,13.8
MARYLAND,6042718,234000,4.2,20,20.3
MASSACHUSETTS,6902149,335000,5.4,21,17.1
MICHIGAN,9995915,373000,4,27,18.2
MINNESOTA,5611179,210000,4.1,28,16.5
MISSISSIPPI,2986530,99000,3.5,34,25.7
MISSOURI,6126452,217000,3.8,26,17.3
MONTANA,1062305,30000,2.9,19,22
NEBRASKA,1929268,67000,3.8,32,19.6
NEVADA,3034392,145000,5.5,22,17
NEW HAMPSHIRE,1356458,59000,4.7,31,16.5
NEW JERSEY,8908520,343000,4.1,25,19.7
NEW MEXICO,2095428,85000,4.5,29,17.8
NEW YORK,19542209,913000,5.1,22,16.4
NORTH CAROLINA,10383620,382000,4,26,18.5
NORTH DAKOTA,760077,20000,2.7,10,21.6
NORTHERN MARIANA ISLANDS,53833,,,,
OHIO,11689442,462000,4.3,30,17.7
OKLAHOMA,3943079,138000,3.8,38,20.9
OREGON,4190713,207000,5.6,23,16.3
PENNSYLVANIA,12807060,490000,4.1,27,15.9
PUERTO RICO,3195153,,,,
RHODE ISLAND,1057315,44000,4.5,19,15.5
SOUTH CAROLINA,5084127,167000,3.5,30,18.9
SOUTH DAKOTA,882235,25000,3,29,21.1
TENNESSEE,6770010,223000,3.5,29,18.1
TEXAS,28701845,1053000,4.1,29,19.8
U.S. VIRGIN ISLANDS,106405,,,,
UTAH,3161108,104000,3.7,40,20.1
VERMONT,626299,30000,5.2,23,18.6
VIRGINIA,8517685,308000,3.9,26,16
WASHINGTON,7535591,342000,5.2,28,15.8
WEST VIRGINIA,1805832,68000,4,31,17.8
WISCONSIN,5813568,207000,3.8,29,16.4
WYOMING,577737,18000,3.3,28,24.7